Club,Name,Instagram ID,No_followers,No_following
FC Barcelona,L. Messi,leomessi,149815811,229
Juventus,Cristiano Ronaldo,cristiano,216921320,447
Paris Saint-Germain,Neymar Jr,neymarjr,138676674,1236
Manchester United,De Gea,d_degeaofficial,10993679,140
Manchester City,K. De Bruyne,kevindebruyne,10920443,331
Chelsea,E. Hazard,hazardeden_10,26740811,145
Real Madrid,L. Modri_,lukamodric10,18297189,408
FC Barcelona,L. Suarez,luissuarez9,37805137,157
Real Madrid,Sergio Ramos,sergioramos,38346714,1042
Atlético Madrid,J. Oblak,oblakjan,1262654,91
FC Bayern München,R. Lewandowski,_rl9,17141057,106
Real Madrid,T. Kroos,toni.kr8s,24383820,189
Atlético Madrid,D. Godin,diegogodin,1970246,126
Manchester City,David Silva,david21lva,1470715,176
Chelsea,N. Kante,nglkante,6937347,56
Juventus,P. Dybala,paulodybala,38078137,391
Tottenham Hotspur,H. Kane,harrykane,9612424,165
Atlético Madrid,A. Griezmann,antogriezmann,30262759,39
FC Barcelona,M. ter Stegen,mterstegen1,11211084,245
Real Madrid,T. Courtois,thibautcourtois,6701759,683
FC Barcelona,Sergio Busquets,5sergiob,2900972,187
Paris Saint-Germain,E. Cavani,cavaniofficial21,7161300,294
FC Bayern München,M. Neuer,manuelneuer,10020588,122
Manchester City,S. Aguero,kunaguero,13111455,154
Juventus,G. Chiellini,giorgiochiellini,3791908,506
Paris Saint-Germain,K. Mbappe,k.mbappe,40501284,287
Liverpool,M. Salah,mosalah,38179330,198
Real Madrid,Casemiro,casemiro,11981085,480
FC Bayern München,J. Rodriguez,jamesrodriguez10,45452930,604
Napoli,L. Insigne,lorinsigneofficial,1327132,87
Real Madrid,Isco,iscoalarcon,19349372,551
Tottenham Hotspur,C. Eriksen,chriseriksen8,2041558,454
FC Barcelona,Coutinho,phil.coutinho,22323834,996
Arsenal,P. Aubameyang,aubameyang97,9420511,849
FC Bayern München,M. Hummels,aussenrist15,3020902,614
Real Madrid,Marcelo,marcelotwelve,44405451,1117
Real Madrid,G. Bale,garethbale11,43145678,82
Milan,G. Higuain,ghiguain20_9,3109113,237
Paris Saint-Germain,Thiago Silva,thiagosilva,16697241,1277
Inter,S. Handanovi_,samirhandanovic,510682,145
Paris Saint-Germain,G. Buffon,gianluigibuffon,9247757,106
FC Barcelona,S. Umtiti,samumtiti,6639574,436
Inter,M. Icardi,mauroicardi,6532565,496
Napoli,K. Koulibaly,kkoulibaly26,1437773,306
Manchester United,P. Pogba,paulpogba,40909566,122
Real Madrid,K. Navas,keylornavas1,10106614,523
Manchester United,R. Lukaku,romelulukaku,,
Lazio,C. Immobile,ciroimmobile17,1133554,236
FC Barcelona,Jordi Alba,jordialbaoficial,12582400,608
Napoli,D. Mertens,driesmertens,1657701,490
Tottenham Hotspur,J. Vertonghen,jvertonghen,912579,376
Napoli,M. Ham_ik,marek_hamsik_17_official,688540,330
FC Barcelona,I. Rakiti_,ivanrakitic,17473329,374
FC Barcelona,Pique,3gerardpique,18200265,281
Manchester City,L. Sane,leroysane19,5057513,182
Manchester City,Bernardo Silva,bernardocarvalhosilva,2035469,329
Manchester City,Ederson,ederson93,1862184,464
Liverpool,S. Mane,sadiomaneofficiel,7190654,200
Liverpool,V. van Dijk,virgilvandijk,9219801,176
Manchester City,R. Sterling,sterling7,6979113,687
Liverpool,Roberto Firmino,roberto_firmino,13132235,609
Real Madrid,R. Varane,raphaelvarane,14026613,52
Paris Saint-Germain,M. Verratti,marco_verratti92,4842462,731
Juventus,Alex Sandro,alxsndro12,1977425,187
Juventus,Douglas Costa,douglascosta,6372138,935
FC Bayern München,T. Muller,esmuellert,7359930,479
FC Bayern München,Thiago,tmarretamma,458945,532
Borussia Dortmund,M. Reus,marcinho11,8446218,203
Chelsea,Azpilicueta,cesarazpi,2495357,237
Juventus,L. Bonucci,bonuccileo19,4312154,676
Tottenham Hotspur,T. Alderweireld,tobyalderweireld,479832,298
Juventus,M. Pjani_,miralem_pjanic,5099317,328
Juventus,M. Benatia,m.benatia5,3223547,401
Arsenal,M. Ozil,m10_official,21937322,240
Manchester City,Fernandinho,fernandinho,2473424,1603
Vissel Kobe,Iniesta,andresiniesta8,33940500,180
Inter,M. _kriniar,milanskriniar,707226,270
Lazio,S. Milinkovi_-Savi_,sergej___21,469710,256
Real Madrid,Marco Asensio,marcoasensio10,12177803,219
Olympique Lyonnais,N. Fekir,nabilfekir,1054433,145
Liverpool,Alisson,alissonbecker,6887449,1072
FC Bayern München,J. Kimmich,jok_32,2695918,243
Atlético Madrid,Saul,canelo,6745244,83
Manchester City,R. Mahrez,riyadmahrez.7.rm26,750174,14
FC Bayern München,D. Alaba,da_27,4906251,21
Atlético Madrid,Koke,koke6,2106116,730
Arsenal,A. Lacazette,lacazettealex,3153722,350
Roma,K. Manolas,kostasmanolas44,606990,436
Manchester City,N. Otamendi,nicolasotamendi30,2629867,286
Valencia CF,Parejo,dani_parejo10,274617,346
Guangzhou Evergrande Taobao FC,Paulinho,paulinhop8,3212041,653
Juventus,W. Szcz_sny,wojciech.szczesny1,2676379,189
Manchester United,A. Sanchez,alexis_officia1,10495293,226
FC Porto,Y. Brahimi,brahimiofficiel,943833,235
FC Bayern München,J. Boateng,jeromeboateng,6316585,462
FC Barcelona,A. Vidal,kingarturo23oficial,12811887,340
Inter,I. Peri_i_,ivanperisic444,1465124,712
Roma,E. D_eko,ed_dzeko,1457905,502
Juventus,S. Khedira,sami_khedira6,5739357,203
Atlético Madrid,Diego Costa,diegocosta_99,36712,527
Inter,R. Nainggolan,radja_nainggolan_l4,1906001,657
FC Schalke 04,Naldo,naldo29_oficial,192022,468
Juventus,B. Matuidi,blaisematuidiofficiel,5458757,256
Inter,Miranda,miranda023,1089708,451
Real Madrid,K. Benzema,karimbenzema,33809963,159
Atlético Madrid,Filipe Luis,filipeluis,5049730,665
Manchester City,V. Kompany,vincentkompany,1701708,245
Be_ikta_ JK,Pepe,pepe,303047,648
LA Galaxy,Z. Ibrahimovi_,iamzlatanibrahimovic,42841997,20
Tottenham Hotspur,D. Sanchez,daosanchez13,603942,227
Atlético Madrid,J. Gimenez,josemariagimenez,1003992,274
FC Porto,Alex Telles,alextelles13,923370,1737
Manchester City,A. Laporte,laporte,824134,494
Sporting CP,Bruno Fernandes,brunofernandes.10,1983744,528
FC Bayern München,N. Sule,n.suele,627881,93
Manchester United,A. Martial,martial_9,5749850,89
Tottenham Hotspur,D. Alli,dele,7187959,447
Liverpool,Fabinho,fabinho,1776736,406
Paris Saint-Germain,Marquinhos,marquinhosm5,3146716,524
Real Betis,William Carvalho,wcarvalho14,382185,336
Chelsea,Jorginho,jorginhofrello,1264633,662
Olympique de Marseille,F. Thauvin,flotov,1108538,285
Real Madrid,Carvajal,dani.carvajal.2,4875381,252
Olympique Lyonnais,M. Depay,memphisdepay,9730126,518
Tottenham Hotspur,H. Son,hm_son7,4005789,145
Olympique Lyonnais,A. Lopes,antholopes_officiel,136255,175
Inter,S. de Vrij,stefandevrij,555208,595
Juventus,M. Perin,mattiaperin,882119,906
Juventus,J. Cuadrado,cuadrado,8155075,391
RC Celta,Iago Aspas,i.aspas10,250538,577
Arsenal,B. Leno,berndleno1,828754,283
Manchester United,N. Mati_,nemanjamatic,1653818,10
Bayer 04 Leverkusen,L. Hradeck_,lhradecky,73218,591
Real Sociedad,Illarramendi,illarra4,660361,393
Manchester City,K. Walker,kwpeters,196298,190
Manchester City,I. Gundo_an,ilkayguendogan,2782113,134
Napoli,Jose Callejon,jcallejon21,397143,301
Paris Saint-Germain,A. Di Maria,angeldimariajm,11492045,256
Juventus,M. Mand_uki_,mariomandzukic,3944816,85
Chelsea,Willian,willianborges88,9027071,1003
Villarreal CF,Sergio Asenjo,sergioasenjo1,141605,343
Sevilla FC,E. Banega,ever19banega,606378,571
Borussia Dortmund,A. Witsel,axelwitsel28,1418549,523
Olympique de Marseille,D. Payet,payetdimitri27,1844979,56
Arsenal,Sokratis,sokratispapa.official,602297,292
AS Saint-Étienne,S. Ruffier,stephruffier,4096,29
AS Monaco,Falcao,falcao,13162341,1270
Leicester City,K. Schmeichel,kasperschmeichel,807961,1075
Napoli,Raul Albiol,raulalbiol33,200497,148
Atalanta,A. Gomez,papugomez_official,2251057,872
Juventus,A. Barzagli,andreabarzagli15,1771356,197
Be_ikta_ JK,Quaresma,ricardoquaresmaoficial,3167707,125
FC Bayern München,A. Robben,arjenrobben,1175719,3
FC Barcelona,O. Dembele,o.dembele7,8279210,298
Manchester City,Gabriel Jesus,dejesusoficial,14510173,678
Paris Saint-Germain,P. Kimpembe,kimpembe3,2573481,421
Liverpool,N. Keita,keitanabydeco,1496347,130
FC Bayern München,C. Tolisso,corentintolisso,1153897,253
Atlético Madrid,T. Lemar,thom_lemar27,954682,307
FC Bayern München,K. Coman,king_coman,1066677,125
Bayer 04 Leverkusen,J. Tah,jonathantah_,178374,191
Guangzhou Evergrande Taobao FC,Anderson Talisca,andersontalisca,723944,469
RB Leipzig,T. Werner,timowerner,766731,68
Paris Saint-Germain,A. Rabiot,adrienrabiot_25,1728757,159
FC Bayern München,L. Goretzka,leon_goretzka,1021831,328
Sevilla FC,Q. Promes,qpromes,623604,2
Ajax,H. Ziyech,hziyech,3074883,161
Real Madrid,Lucas Vazquez,lucasvazquez91,8888943,403
Dalian YiFang FC,Y. Carrasco,yannickferreiracarrasco,800689,84
Villarreal CF,Gerard Moreno,gerard_moreno,54226,554
FC Porto,Felipe,f.lipe8,19933,406
Chelsea,M. Kova_i_,mateokovacic8,4190938,295
Chelsea,Kepa,kepaarrizabalaga,1311473,322
Villarreal CF,Manu Trigueros,manutrigueros_14,3001,219
FC Bayern München,S. Gnabry,sergegnabry,1608104,240
Everton,J. Pickford,jpickford1,611964,313
Atlético Madrid,S. Savi_,sergej___21,469710,256
Manchester City,J. Stones,johnstonesofficial,765808,155
Milan,Suso,suso,1031928,403
Paris Saint-Germain,J. Draxler,draxlerofficial,4086987,156
West Ham United,Felipe Anderson,f_andersoon,505585,1197
Tottenham Hotspur,Lucas Moura,lucasmoura7,4450117,522
FC Porto,Danilo Pereira,danilo_pereira,40086,466
Real Madrid,Nacho Fernandez,nachofdez90,6090350,529
1. FC Köln,T. Horn,timohorn_1,18821,66
Napoli,Allan,allanmarques91,478115,951
Lazio,F. Acerbi,francescoacerbi88,167943,660
FC Barcelona,Sergi Roberto,sergiroberto,7398017,576
Valencia CF,Rodrigo,rodrigom_91,361609,443
SL Benfica,Pizzi,pizzi21,541969,665
RB Leipzig,K. Kampl,kevinkampl,170939,92
Valencia CF,Neto,netoomurara,1064043,307
TSG 1899 Hoffenheim,O. Baumann,olibaumann90,30549,1208
Everton,I. Gueye,iganagueye,626619,193
Arsenal,H. Mkhitaryan,micki_taryan,2818912,123
Chelsea,Marcos Alonso,marcosalonso28,1517600,354
AS Monaco,D. Suba_i_,danijel.subasic,441037,355
AS Monaco,K. Glik,kamilglik25,357727,553
Olympique de Marseille,K. Strootman,kevinstrootman,616558,195
Shanghai SIPG FC,Oscar,oscar_emboaba,5307225,351
